"","Host","Anisakis_TimeEffect","Anisakis_time_p","Anisakis_Host_Influence","Anisakis_HostBurden"
"1","Acanthodraco dewitti",0.02056437987206,0.00288004363535733,-5.4318826651488e-05,-0.00461523344157378
"2","Acipenser gueldenstaedtii",0.0204334763230387,0.00288612380931851,-0.000185222375672738,-0.0248319823949354
"3","Acipenser persicus",0.0200943298054343,0.00322231112441969,-0.000524368893277134,-0.0505762756824865
"4","Alloteuthis media",0.0206729900750771,0.00268318150546346,5.42913763656658e-05,-0.0148605683785054
"5","Alloteuthis subulata",0.0205215823779419,0.00292294525100269,-9.71163207696239e-05,-0.0115909237225727
"6","Alosa fallax",0.0207306491515836,0.00259168631537206,0.000111950452872073,-0.0201339335741694
"7","Amblyraja hyperborea",0.020752251368216,0.00261455567129362,0.000133552669504523,0.0184380353228327
"8","Amblyraja radiata",0.0207977988699638,0.00256165290738038,0.000179100171252299,0.0216059467298172
"9","Ammodytes tobianus",0.0205216481970549,0.00291719081769387,-9.70505016566307e-05,-0.0120686722247944
"10","Anguilla anguilla",0.0205961019224154,0.002815482387518,-2.25967762960619e-05,-0.0253899438740011
"11","Anoplogaster cornuta",0.0204795263637248,0.00298729940007093,-0.000139172334986656,0.0113665062267166
"12","Aphanopus carbo",0.0168674287068358,0.0132052922500207,-0.00375126999187569,0.332895115186571
"13","Aphos porosus",0.0206376705019518,0.00292131496319635,1.89718032403557e-05,-0.00576792214733406
"14","Arctogadus glacialis",0.0212456766334847,0.00219710357004987,0.000626977934773225,-0.0794776226108057
"15","Argentina silus",0.0206059215972979,0.00280143968649517,-1.27771014135393e-05,-0.00937620389875253
"16","Bathylagus euryops",0.0206113650892506,0.00282198693369634,-7.3336094608932e-06,-0.0226932687279958
"17","Bathyraja spinicauda",0.0207170791727375,0.00266726596461994,9.83804740259768e-05,0.0120632697719447
"18","Belone belone",0.0208953041811932,0.00239934641403984,0.000276605482481707,-0.00532217009354624
"19","Benthosema glaciale",0.0207064275442867,0.00266816342825693,8.77288455751815e-05,-0.0365091126999574
"20","Boops boops",0.0207380950029996,0.00262424009353169,0.00011939630428812,-0.0202807976026419
"21","Boreogadus saida",0.020662485184536,0.00273448807734559,4.37864858245512e-05,-0.0135688745672162
"22","Borostomias antarcticus",0.0206028047892131,0.00281537965035434,-1.58939094983615e-05,-0.0107792266241323
"23","Brama brama",0.0205132156348309,0.00292684087825051,-0.000105483063880557,-0.0133021622601474
"24","Callionymus lyra",0.0205180628689634,0.00291692198148972,-0.000100635829748123,-0.0122954779161802
"25","Caulolatilus princeps",0.0203339368118871,0.0029873000763613,-0.000284761886824369,0.0219373581210042
"26","Centrophorus squamosus",0.0214647094880246,0.00202584618005972,0.000846010789313151,-0.0524093111972665
"27","Ceratoscopelus maderensis",0.0206324119142028,0.00274980169145205,1.37132154913316e-05,-0.00498418503363781
"28","Chaenocephalus aceratus",0.020455711317227,0.00301892922532215,-0.000162987381484524,-0.0190417803467291
