ID,E_Fiorenza,K_Dobkowski,C_Wendt,Include_title,EF_Abs,KD_Abs,CW_Abs,Notes,Include_abstract,Method_Counting_parasites,Portion_of_Body,Geographic_Location_Name,Latitude_decimaldegrees,Longitude_decimaldegrees,Depth_m,Depth_min_m,Depth_max_m,Month_season_collection,Year_collection,Year_collection_min,Year_collection_max,Length_cm,Length_SD_cm,Length_SE_cm,Length_min_cm,Length_max_cm,Length_median_cm,Length_PAL_cm,Length_SL_cm,Length_SL_SE_cm,Length_SL_min_cm,Length_SL_max_cm,Length_TL_cm,Length_TL_cm_SE,Length_TL_cm_SD,Length_TL_cm_min,Length_TL_cm_max,Length_FL_cm_mean,Length_FL_cm_SE,Length_FL_SD,Length_FL_cm_min,Length_FL_cm_max,Length_Dorsal_Mantle_cm,Length_Dorsal_Mantle_SE_cm,Length_Dorsal_Mantle_Range_Min_cm,Length_Dorsal_Mantle_Range_Max_cm,Weight_kg,Weight_SE_kg,Weight_SD_kg,Weight_Min_kg,Weight_Max_kg,Age_mean_yrs,Age_SE_yrs,Age_Min,Age_Max,Wild_Farmed,Host,Parasite,Total_Fish_Examined,Implicit,Prevalence,Intensity_Mean,Intensity_SE,Intensity_SD,Intensity_ConfidenceLevel95_Min,Intensity_ConfidenceLevel95_Max,Intensity_Range_Low,Intensity_Range_High,Abundance_mean_per_fish,Abundance_SE,Abundance_SD,Abundance_Variance,Abundance_ConfidenceLevel95_Min,Abundance_ConfidenceLevel95_Max,Abundance_Range_Min,Abundance_Range_Max,Total_Number_of_Parasites,Percent_in_Flesh,Use_Data,Exclusion_Reason,Person_collecting_data,Title,Authors_List,CA,GP,Publication_Type,SO,VL,IS,SI,MA,BP,EP,AR,Year,CT,CY,SP,CL
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,SanMatias Gulf,-41.91666667,-64.41666667,,,,July,1999,,,,,,,,,,,,,,38.68,4.51,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Anisakis simplex,83,,100,,,,,,,,17,15.2,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,Patagonian Shelf,-46.5,-61.75,,,,July to September,1999,,,,,,,,,,,,,,39.91,3.6,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Anisakis simplex,115,,89.57,,,,,,,,52.6,16.2,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,San Jorge Gulf,-46.5,-66.5,,,,July,1998,,,,,,,,,,,,,,40.36,4.81,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Anisakis simplex,80,,97.5,,,,,,,,16.6,14.9,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,Argentine Uruguayan Common Fishing Zone,-36.75,-54.75,,,,June to December,1993,,,,,,,,,,,,,,40.53,5.52,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Anisakis simplex,66,,28.79,,,,,,,,0.8,2.7,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,SanMatias Gulf,-41.91666667,-64.41666667,,,,July,1999,,,,,,,,,,,,,,38.68,4.51,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Pseudoterranova sp,83,,2.41,,,,,,,,0,0.2,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,Patagonian Shelf,-46.5,-61.75,,,,July to September,1999,,,,,,,,,,,,,,39.91,3.6,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Pseudoterranova sp,115,,0,,,,,,,,0,0,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,San Jorge Gulf,-46.5,-66.5,,,,July,1998,,,,,,,,,,,,,,40.36,4.81,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Pseudoterranova sp,80,,0,,,,,,,,0,0,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
112_Search_1,yes,yes,,1,yes,yes,,,1,Candling and Microscopy,Whole,Argentine Uruguayan Common Fishing Zone,-36.75,-54.75,,,,June to December,1993,,,,,,,,,,,,,,40.53,5.52,,,,,,,,,,,,,,,,,,,,,,Wild,Merluccius hubbsi,Pseudoterranova sp,66,,0,,,,,,,,0,0,,,,,,,,,,,EF,Parasites of Argentine hake in the Argentine Sea  population and infracommunity structure as evidence for host stock discrimination,Sardella  NH  Timi  JT,,,J,JOURNAL OF FISH BIOLOGY,65,6,,,1472,1488,,2004,,,,
119_Search_1,yes,yes,,1,yes,yes,,,1,Digestion,Whole,NW Alboran Sea,34.340427,-3.239796,,,,,,1998,1999,13.3,2.2,,9,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Engraulis encrasicolus,Anisakis Type 1,72,,1.39,1,,,1,1,,,0.01,,,,0,0.04,,,,,,,CW,The fishing area as a possible indicator of the infection by anisakids in anchovies (Engraulis encrasicolus) from southwestern Europe,Javier Rello  Francisco  Javier Adroher  Francisco  Benitez  Rocio  Valero  Adela,,,J,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,129,3,,,277,281,,2009,,,,
119_Search_1,yes,yes,,1,yes,yes,,,1,Digestion,Whole,Catalonia Coast,38.234043,3.010204,,,,,,1998,1999,13.3,2.2,,9,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wild,Engraulis encrasicolus,Anisakis Type 1,157,,1.91,1.67,,,1,2.33,,,0.03,,,,0.01,0.1,,,,,,,CW,The fishing area as a possible indicator of the infection by anisakids in anchovies (Engraulis encrasicolus) from southwestern Europe,Javier Rello  Francisco  Javier Adroher  Francisco  Benitez  Rocio  Valero  Adela,,,J,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,129,3,,,277,281,,2009,,,,
