data_file_name,column_name,column_description
anisakid_data.csv,ID,unique ID for each study retrieved from Web of Science
anisakid_data.csv,E_Fiorenza,whether Evan Fiorenza judged that the study should be included based on information contained in the study's title
anisakid_data.csv,K_Dobkowski,whether Katie Dobkowski judged that the study should be included based on information contained in the study's title
anisakid_data.csv,C_Wendt,whether Catrin Wendt judged that the study should be included based on information contained in the study's title
anisakid_data.csv,Include_title,judgment about whether the study should be included based on consensus among co-authors on information contained in the study's title
anisakid_data.csv,EF_Abs,whether Evan Fiorenza judged that the study should be included based on information contained in the study's abstract
anisakid_data.csv,KD_Abs,whether Katie Dobkowski judged that the study should be included based on information contained in the study's abstract
anisakid_data.csv,CW_Abs,whether Catrin Wendt judged that the study should be included based on information contained in the study's abstract
anisakid_data.csv,Notes,"notes from Evan Fiorenza (EF), Katie Dobkowski (KD), and Catrin Wendt (CW) regarding reasoning for inclusion/exclusion of studies"
anisakid_data.csv,Include_abstract,judgment about whether the study should be included based on consensus among co-authors on information contained in the study's abstract
anisakid_data.csv,Method_Counting_parasites,"the method that this study used to count parasites (candling, microscopy, digestion, UV, or a combination of these)"
anisakid_data.csv,Portion_of_Body,"the portion of the fish or invertebrates body that was examined for parasites (alimentary tract, fillet, viscera, whole animal)"
anisakid_data.csv,Geographic_Location_Name,name of the site of collection given in the study
anisakid_data.csv,Latitude_decimaldegrees,latitude of collection site in decimal degrees
anisakid_data.csv,Longitude_decimaldegrees,longitude of collection site in decimal degrees
anisakid_data.csv,Depth_m,"depth of collection in meters, if given in the study"
anisakid_data.csv,Depth_min_m,"minimum depth of collection in meters, if given in the study"
anisakid_data.csv,Depth_max_m,"maximum depth of collection in meters, if given in the study"
anisakid_data.csv,Month_season_collection,month or month range in which the sample was collected
anisakid_data.csv,Year_collection,year of collection
anisakid_data.csv,Year_collection_min,"minimum year of collection, if the study gives a range of years"
anisakid_data.csv,Year_collection_max,"maximum year of collection, if the study gives a range of years"
anisakid_data.csv,Length_cm,"mean standard length of the fish that make up the sample, in cm"
anisakid_data.csv,Length_SD_cm,"standard deviation of the standard length of the fish that make up the sample, in cm"
