,TrueHost,Method_Counting_parasites,Total_Fish_Examined,Latitude_decimaldegrees,Longitude_decimaldegrees,Standard_Year,Standard_LengthCalc,Portion_of_Body,ID,Wild_Farmed,Standard_Abundance,V2,Standard_StandardDev,FAO
1,Hippoglossus hippoglossus,Microscopy,75,55.67636,-5.731652,2011,49.4953,Whole,2014_Search_1,Farmed,0,0,0,27
2,Oncorhynchus mykiss,Microscopy,75,56.250452,-5.546974,2012,52.3416,Whole,2014_Search_1,Farmed,0,0,0,27
3,Hippoglossus hippoglossus,Microscopy,75,56.250452,-5.546974,2012,52.84285,Whole,2014_Search_1,Farmed,0,0,0,27
4,Oncorhynchus mykiss,Microscopy,75,56.448702,-5.237538,2012,55.24344,Whole,2014_Search_1,Farmed,0,0,0,27
5,Oncorhynchus mykiss,Microscopy,75,56.461417,-5.262509,2012,55.87624,Whole,2014_Search_1,Farmed,0,0,0,27
6,Sparus aurata,Microscopy,6,38.77777778,27.02222222,2012.5,18,Whole,869_Search_1,Farmed,0,0,0,37
7,Dicentrarchus labrax,Microscopy,6,38.77777778,27.02222222,2012.5,20,Whole,869_Search_1,Farmed,0,0,0,37
8,Dicentrarchus labrax,Microscopy,2,41.63333333,37.325,2012.5,25,Whole,869_Search_1,Farmed,0,0,0,37
9,Oncorhynchus mykiss,Microscopy,2,41.63333333,37.325,2012.5,42,Whole,869_Search_1,Farmed,0,0,0,37
10,Oncorhynchus kisutch,Digestion,200,47.556979,-122.625752,1987,29,Whole,88_Search_1,Farmed,0,0,0,67
11,Epinephelus areolatus,Microscopy,30,-8.691666667,-108.9083333,2009,25.6954584,Viscera,1007_Search_1,Wild,1.7189,1.714322598,1.309321427,87
12,Epinephelus areolatus,Microscopy,30,-8.678888889,-115.07125,2009,26.09040515,Viscera,1007_Search_1,Wild,3.9582,4.114873475,2.028515091,87
13,Eutrigla gurnardus,Digestion and UV,50,56.30833333,3.566666667,2009,28.233839,Whole,1022_Search_1,Wild,27.1,1030.41,32.1,27
14,Eutrigla gurnardus,Digestion and UV,39,60.59166667,0.691666667,2009,29.144608,Whole,1022_Search_1,Wild,21.6,372.49,19.3,27
15,Anoplogaster cornuta,Microscopy,21,55.49641667,-44.06733333,2003,12.7,Viscera,1025_Search_1,Wild,1.2562,1.271980385,1.127821078,21
16,Salmo trutta,Microscopy,30,57.405015,-5.465508,2006,22.1,Whole,1029_Search_1,Wild,0.03,0.027,0.164316767,27
17,Salmo trutta,Microscopy,30,54.963489,-3.183073,2006,23.8,Whole,1029_Search_1,Wild,0,0,0,27
