,TrueHost,Method_Counting_parasites,Total_Fish_Examined,Latitude_decimaldegrees,Longitude_decimaldegrees,Standard_Year,Standard_LengthCalc,Portion_of_Body,ID,Wild_Farmed,Standard_Abundance,V2,Standard_StandardDev,FAO
1,Hippoglossus hippoglossus,Microscopy,75,55.67636,-5.731652,2011,49.4953,Whole,2014_Search_1,Farmed,0,0,0,27
2,Oncorhynchus mykiss,Microscopy,75,56.250452,-5.546974,2012,52.3416,Whole,2014_Search_1,Farmed,0,0,0,27
3,Hippoglossus hippoglossus,Microscopy,75,56.250452,-5.546974,2012,52.84285,Whole,2014_Search_1,Farmed,0,0,0,27
4,Oncorhynchus mykiss,Microscopy,75,56.448702,-5.237538,2012,55.24344,Whole,2014_Search_1,Farmed,0,0,0,27
5,Oncorhynchus mykiss,Microscopy,75,56.461417,-5.262509,2012,55.87624,Whole,2014_Search_1,Farmed,0,0,0,27
6,Salmo trutta,Microscopy,30,57.405015,-5.465508,2006,22.1,Whole,1029_Search_1,Wild,0,0,0,27
7,Salmo trutta,Microscopy,30,54.963489,-3.183073,2006,23.8,Whole,1029_Search_1,Wild,0,0,0,27
8,Salmo trutta,Microscopy,30,54.963489,-3.183073,2007,25.7,Whole,1029_Search_1,Wild,0,0,0,27
9,Salmo trutta,Microscopy,30,57.405015,-5.465508,2007,30.8,Whole,1029_Search_1,Wild,0,0,0,27
10,Salmo trutta,Microscopy,30,56.830045,-2.663867,2006,44,Whole,1029_Search_1,Wild,0.93,9.075,3.012474066,27
11,Salmo trutta,Microscopy,30,56.072197,-3.745315,2007,45.7,Whole,1029_Search_1,Wild,0.13,0.327,0.571839138,27
12,Salmo trutta,Microscopy,28,56.830045,-2.663867,2007,45.8,Whole,1029_Search_1,Wild,0.23,1.4812,1.217045603,27
13,Salmo trutta,Microscopy,32,56.072197,-3.745315,2006,46.6,Whole,1029_Search_1,Wild,0.21,0.3616,0.601331855,27
14,Salmo trutta,Microscopy,30,56.965407,-2.198439,2006,48,Whole,1029_Search_1,Wild,0.28,0.588,0.766811581,27
15,Sebastes mentella,Microscopy,50,49.2,-59.75,1992,26.292,Whole,1064_Search_1,Wild,0.102,0.001296081,0.036001132,21
16,Sebastes fasciatus,Microscopy,50,49.2,-59.75,1992,31.1,Whole,1064_Search_1,Wild,0.08,3.68E-08,0.000191833,21
17,Myoxocephalus scorpius,Candling,186,65.636834,12.038006,1990.5,20.06182796,Whole,1072_Search_1,Wild,26.4,2209,47,27
18,Harpagifer antarcticus,Microscopy,2,-62.146634,-58.42127,1978.5,10,Viscera,1114_Search_1,Wild,0,0,0,48
